shapeID,name,sol,pop,area_km2,parent,sol_0,growth,abs_change,z_robust,flag
11933810B37215570160824,القصور,419.027,15159.7,457.405,El Kef,645.304,-0.0468435,-226.277,-3.18246,significant loss · baisse significative
11933810B66585629816917,المزونة,917.431,25962.8,1131.71,Sidi Bouzid,940.095,-0.00270776,-22.6634,-1.51431,within normal range · dans la plage normale
11933810B82124432646139,العروسة,361.121,21934.3,359.139,Siliana,379.238,-0.00542414,-18.1167,-1.61698,within normal range · dans la plage normale
11933810B80183977842330,ماطر,1975,51928.5,562.76,Bizerte,1395.41,0.039353,579.599,0.0754183,within normal range · dans la plage normale
11933810B43888701821775,الجم,2866.07,51930.6,284.331,Mahdia,1804.69,0.0527388,1061.39,0.581348,within normal range · dans la plage normale
11933810B93906060339366,القصر,1991.49,51616.1,280.483,Gafsa,1271.44,0.0511228,720.046,0.52027,within normal range · dans la plage normale
11933810B57127812574337,صفاقس الجنوبية,8154.1,123573,195.3,Sfax,4954.6,0.0569169,3199.5,0.739263,within normal range · dans la plage normale
11933810B10905453653895,غزالة,532.551,26412.4,405.915,Bizerte,414.788,0.0281571,117.763,-0.347743,within normal range · dans la plage normale
11933810B38600373367169,سيدي عيش,569.955,11735.4,442.084,Gafsa,429.113,0.03204,140.842,-0.200984,within normal range · dans la plage normale
11933810B46466927285708,الشبيكة,2331.49,40497.3,509.984,Kairouan,1334.75,0.0639339,996.733,1.00448,within normal range · dans la plage normale
11933810B49203985770178,تطاوين الشمالية,4281.5,37992.5,2827.8,Tataouine,6601.52,-0.0469718,-2320.02,-3.18731,significant loss · baisse significative
11933810B42878076535883,رمادة,9220.44,10563.5,27497,Tataouine,28501,-0.117848,-19280.6,-5.86614,significant loss · baisse significative
11933810B83498935151337,الصمار,710.651,15586.8,1985.26,Tataouine,1235.31,-0.059584,-524.66,-3.664,significant loss · baisse significative
11933810B11827339972029,سليمان,5181.13,59889.2,141.712,Nabeul,3437.67,0.0466359,1743.46,0.350681,within normal range · dans la plage normale
11933810B93669853270617,أولاد حفوز,933.156,21295.8,420.716,Sidi Bouzid,673.305,0.0369294,259.851,-0.0161845,within normal range · dans la plage normale
11933810B54153099076840,الرديف,1370.42,24465,401.76,Gafsa,746.553,0.0698193,623.869,1.22692,within normal range · dans la plage normale
11933810B17149479798456,الناظور,1405.88,34646.5,354.862,Zaghouan,652.375,0.0890558,753.506,1.95398,within normal range · dans la plage normale
11933810B3957312331643,زرمدين,2325.21,33712.8,250.927,Monastir,1210.3,0.0752456,1114.91,1.43201,within normal range · dans la plage normale
11933810B51337682918507,القيروان الجنوبية,5518.48,62619.9,519.035,Kairouan,3140.06,0.0646555,2378.42,1.03175,within normal range · dans la plage normale
11933810B93089307586019,قابس الغربية,3375.24,35899.1,152.975,Gabès,1623.62,0.0847096,1751.63,1.78971,within normal range · dans la plage normale
11933810B87788045325558,أوتيك,1882.11,20868.3,371.509,Bizerte,1029.09,0.069381,853.024,1.21036,within normal range · dans la plage normale
11933810B95745204086870,سيدي مخلوف,1186.17,27335.5,656.72,Médenine,925.972,0.0278978,260.199,-0.35754,within normal range · dans la plage normale
11933810B61155262377860,مارث,2536.71,64717.8,996.159,Gabès,1823.9,0.0373347,712.811,-0.000866187,within normal range · dans la plage normale
11933810B61814585339016,تالة,1468.67,37815.4,713.438,Kasserine,1219.62,0.0208606,249.045,-0.623518,within normal range · dans la plage normale
11933810B10637834163678,بنزرت الجنوبية,2139.12,66154.4,402.431,Bizerte,1706.61,0.0254158,432.507,-0.451351,within normal range · dans la plage normale
11933810B59009288682307,الكاف الشرقية,2494.97,40481.6,391.862,El Kef,1483.22,0.0594866,1011.75,0.836386,within normal range · dans la plage normale
11933810B77828978418448,جبنيانة,2183.16,52655.2,252.195,Sfax,1098.02,0.0793543,1085.14,1.58731,within normal range · dans la plage normale
11933810B2147309578114,مطماطة الجديدة,853.945,12911.5,750.616,Gabès,1032.25,-0.0208494,-178.304,-2.19999,within normal range · dans la plage normale
11933810B84977870340871,عين دراهم,763.744,33054.6,486.902,Jendouba,717.17,0.00701565,46.5745,-1.1468,within normal range · dans la plage normale
11933810B24565531401721,السند,1371.51,39102.5,764.905,Gafsa,1114.64,0.0233105,256.877,-0.530923,within normal range · dans la plage normale
11933810B45442684753250,التحرير,653.244,18854.2,1.59022,Tunis,711.625,-0.00946602,-58.3808,-1.76974,within normal range · dans la plage normale
11933810B21943551709100,جلمة,2527.21,43213.5,666.65,Sidi Bouzid,1437.78,0.0646741,1089.43,1.03245,within normal range · dans la plage normale
11933810B27074780106305,الزهور,599.291,701.003,1.98858,Tunis,502.005,0.0198769,97.2863,-0.660697,within normal range · dans la plage normale
11933810B6714146070039,حيدرة,839.556,11223.3,495.039,Kasserine,784.016,0.00763388,55.5402,-1.12344,within normal range · dans la plage normale
11933810B18230049002493,المدينة,716.52,11506.1,1.19309,Tunis,560.583,0.0276453,155.938,-0.367087,within normal range · dans la plage normale
11933810B70158392681362,النفيضة,4711.14,57503.6,381.178,Sousse,3202.13,0.043835,1509.01,0.24482,within normal range · dans la plage normale
11933810B78138707020335,باب سويقة,1037.24,26202.5,1.98828,Tunis,812.552,0.0274976,224.686,-0.372669,within normal range · dans la plage normale
11933810B79340019170790,بنزرت الشمالية,2854.37,88404.8,54.0982,Bizerte,2640.93,0.00867296,213.44,-1.08416,within normal range · dans la plage normale
11933810B49530197885075,الزريبة,2258.04,22604.7,347.2,Zaghouan,1411.46,0.0535948,846.578,0.613701,within normal range · dans la plage normale
11933810B5079624698745,مدنين االجنوبية,3251.85,66124.3,730.365,Médenine,1787.64,0.0687403,1464.21,1.18614,within normal range · dans la plage normale
11933810B55082969984596,السواسي,2398.51,48420.1,345.353,Mahdia,1329.22,0.0677827,1069.29,1.14994,within normal range · dans la plage normale
11933810B3203162636288,فوشانة,5291.63,73709.1,39.4242,Ben Arous,3145.73,0.0594891,2145.9,0.836482,within normal range · dans la plage normale
11933810B75310279086219,مجاز الباب,2360.41,46956.9,461.13,Béja,1670.17,0.0391825,690.239,0.0689735,within normal range · dans la plage normale
11933810B2824472069390,مرناق,6328.65,60918.8,397.173,Ben Arous,3451.01,0.0697018,2877.64,1.22248,within normal range · dans la plage normale
