coverage,date,name,sol,month,year,expected,resid,z
1,2021-01-01,Ariana,24655.3,1,2021,23654.5,0.0423117,0.795393
1,2021-02-01,Ariana,25424.3,2,2021,25471.4,-0.00184836,-0.089633
1,2021-03-01,Ariana,23393.9,3,2021,26117.8,-0.104291,-2.14272
1,2021-04-01,Ariana,24882.6,4,2021,26819.2,-0.0722105,-1.49978
1,2021-05-01,Ariana,26840.3,5,2021,24777.2,0.0832632,1.61612
1,2021-06-01,Ariana,26996.1,6,2021,26545.6,0.0169706,0.287523
1,2021-07-01,Ariana,25740.3,7,2021,25602.3,0.00539198,0.055473
1,2021-08-01,Ariana,22277.4,8,2021,24787.1,-0.10125,-2.08177
1,2021-09-01,Ariana,25011.3,9,2021,24443.4,0.0232362,0.413095
1,2021-10-01,Ariana,21754.4,10,2021,26199.7,-0.169672,-3.45303
1,2021-11-01,Ariana,24064.9,11,2021,25531.8,-0.0574565,-1.20409
1,2021-12-01,Ariana,22866.1,12,2021,24058.3,-0.0495548,-1.04573
1,2022-01-01,Ariana,22616.3,1,2022,24334.1,-0.070592,-1.46735
1,2022-02-01,Ariana,25080.7,2,2022,25586,-0.0197489,-0.448383
1,2022-03-01,Ariana,24139.4,3,2022,25869.3,-0.0668681,-1.39271
1,2022-04-01,Ariana,26217.7,4,2022,26374.1,-0.00593189,-0.171472
1,2022-05-01,Ariana,24107.5,5,2022,25688.2,-0.0615333,-1.2858
1,2022-06-01,Ariana,26205.1,6,2022,26809.2,-0.0225336,-0.504191
1,2022-07-01,Ariana,23844.4,7,2022,26234.2,-0.0910955,-1.87826
1,2022-08-01,Ariana,23640.1,8,2022,24332.8,-0.028467,-0.623106
1,2022-09-01,Ariana,24076.3,9,2022,24755.1,-0.0274215,-0.602151
1,2022-10-01,Ariana,26547.4,10,2022,24602.1,0.0790741,1.53216
1,2022-11-01,Ariana,24170.8,11,2022,25496.5,-0.051998,-1.0947
1,2022-12-01,Ariana,25849,12,2022,23064,0.120752,2.36744
1,2023-01-01,Ariana,23451.4,1,2023,24055.8,-0.0251249,-0.556125
1,2023-02-01,Ariana,25541.4,2,2023,25432.4,0.00428621,0.0333119
1,2023-03-01,Ariana,28056.5,3,2023,24563.6,0.1422,2.79729
1,2023-04-01,Ariana,26687.6,4,2023,26217.5,0.0179284,0.306719
1,2023-05-01,Ariana,24913,5,2023,25419.7,-0.0199326,-0.452065
1,2023-06-01,Ariana,27088.5,6,2023,26514.8,0.021638,0.381065
1,2023-07-01,Ariana,25071.6,7,2023,25825.2,-0.0291804,-0.637403
1,2023-08-01,Ariana,26187.5,8,2023,23483.7,0.115138,2.25492
1,2023-09-01,Ariana,25141.8,9,2023,24399.9,0.0304046,0.556759
1,2023-10-01,Ariana,26572.2,10,2023,24593.8,0.0804423,1.55958
1,2023-11-01,Ariana,27042.8,11,2023,24539.2,0.102023,1.99208
1,2023-12-01,Ariana,24234.7,12,2023,23602.1,0.0268013,0.484544
1,2024-01-01,Ariana,24895.7,1,2024,23574.3,0.0560496,1.07072
1,2024-02-01,Ariana,25792.2,2,2024,25348.8,0.0174906,0.297945
1,2024-03-01,Ariana,26157.4,3,2024,25196.6,0.0381296,0.711578
1,2024-04-01,Ariana,27552.3,4,2024,25929.3,0.0625948,1.20189
1,2024-05-01,Ariana,25311.2,5,2024,25286.9,0.000961887,-0.0333119
1,2024-06-04,Ariana,26343.1,6,2024,26763.2,-0.0156974,-0.367186
1,2024-07-01,Ariana,27890.8,7,2024,24885.4,0.120768,2.36776
1,2024-08-01,Ariana,24533.5,8,2024,24035,0.0207414,0.363095
1,2024-09-01,Ariana,24112.1,9,2024,24743.1,-0.0255029,-0.563701
1,2024-10-01,Ariana,25479.6,10,2024,24958,0.0208985,0.366244
1,2024-11-01,Ariana,25382,11,2024,25092.8,0.0115247,0.17838
1,2024-12-01,Ariana,22091.2,12,2024,24316.6,-0.0915173,-1.88672
1,2021-01-01,Ben Arous,32049,1,2021,32626.8,-0.0177101,-0.276865
1,2021-02-01,Ben Arous,33845.7,2,2021,35388.5,-0.0435957,-0.601638
1,2021-03-01,Ben Arous,30914.5,3,2021,35197.9,-0.121694,-1.5815
1,2021-04-01,Ben Arous,33114.9,4,2021,36893.6,-0.10242,-1.33968
1,2021-05-01,Ben Arous,33814.1,5,2021,33255.2,0.0168062,0.156195
1,2021-06-01,Ben Arous,35026.7,6,2021,35609.8,-0.0163729,-0.260086
1,2021-07-01,Ben Arous,32662.8,7,2021,31720.4,0.029709,0.31808
1,2021-08-01,Ben Arous,28507,8,2021,33677.4,-0.153529,-1.98092
1,2021-09-01,Ben Arous,31220.9,9,2021,33341.6,-0.0636063,-0.852701
1,2021-10-01,Ben Arous,29929.7,10,2021,35985.8,-0.168292,-2.16614
1,2021-11-01,Ben Arous,31725.1,11,2021,35745.9,-0.112483,-1.46594
1,2021-12-01,Ben Arous,29864.7,12,2021,33909.8,-0.119289,-1.55132
1,2022-01-01,Ben Arous,29911.4,1,2022,33339.4,-0.102819,-1.34469
1,2022-02-01,Ben Arous,34454.5,2,2022,35185.6,-0.0207797,-0.315377
1,2022-03-01,Ben Arous,30787.1,3,2022,35240.4,-0.126367,-1.64013
1,2022-04-01,Ben Arous,35584,4,2022,36070.5,-0.0134882,-0.223894
1,2022-05-01,Ben Arous,31561.4,5,2022,34006.1,-0.0718901,-0.956634
1,2022-06-01,Ben Arous,34465.8,6,2022,35796.8,-0.0371805,-0.52115
1,2022-07-01,Ben Arous,31695,7,2022,32043,-0.0108611,-0.190933
1,2022-08-01,Ben Arous,31494.8,8,2022,32681.5,-0.0363102,-0.51023
1,2022-09-01,Ben Arous,31436.2,9,2022,33269.9,-0.0551157,-0.746174
1,2022-10-01,Ben Arous,35543.2,10,2022,34114.6,0.0418778,0.470756
1,2022-11-01,Ben Arous,34070.8,11,2022,34964.1,-0.0255493,-0.375219
1,2022-12-01,Ben Arous,35704.4,12,2022,31963.2,0.117047,1.41387
1,2023-01-01,Ben Arous,33328,1,2023,32200.5,0.035016,0.384665
1,2023-02-01,Ben Arous,35470.6,2,2023,34846.9,0.0179002,0.169922
1,2023-03-01,Ben Arous,37851.8,3,2023,32885.5,0.151017,1.84007
1,2023-04-01,Ben Arous,37355.2,4,2023,35480.1,0.0528497,0.608416
1,2023-05-01,Ben Arous,32031.2,5,2023,33849.5,-0.0537178,-0.728635
1,2023-06-01,Ben Arous,35618.1,6,2023,35412.7,0.00580074,0.0181152
1,2023-07-01,Ben Arous,32025.8,7,2023,31932.7,0.00291305,-0.0181152
1,2023-08-01,Ben Arous,34082,8,2023,31819.1,0.071117,0.837607
1,2023-09-01,Ben Arous,33360.7,9,2023,32628.4,0.022443,0.226918
1,2023-10-01,Ben Arous,35844.3,10,2023,34014.3,0.0538006,0.620347
1,2023-11-01,Ben Arous,36427.2,11,2023,34178.6,0.0657881,0.770748
1,2023-12-01,Ben Arous,32416.6,12,2023,33059.2,-0.0194359,-0.298517
1,2024-01-01,Ben Arous,34641,1,2024,31762.8,0.0906162,1.08225
1,2024-02-01,Ben Arous,36240.4,2,2024,34590.3,0.0477061,0.543882
1,2024-03-01,Ben Arous,36954.8,3,2024,33184.5,0.113617,1.37084
1,2024-04-01,Ben Arous,37741.4,4,2024,35351.4,0.0676089,0.793592
1,2024-05-01,Ben Arous,36173,5,2024,32468.9,0.114082,1.37667
1,2024-06-04,Ben Arous,36745.4,6,2024,35036.9,0.0487645,0.557161
1,2024-07-01,Ben Arous,31440.5,7,2024,32127.8,-0.0213952,-0.323099
1,2024-08-01,Ben Arous,35455.5,8,2024,31361.3,0.130551,1.5833
1,2024-09-01,Ben Arous,35228.1,9,2024,32005.9,0.100674,1.20844
1,2024-10-01,Ben Arous,36569.9,10,2024,33772.4,0.0828331,0.984603
1,2024-11-01,Ben Arous,36739.9,11,2024,34074.4,0.0782283,0.926829
1,2024-12-01,Ben Arous,33608.3,12,2024,32661.9,0.0289753,0.308875
1,2021-01-01,Bizerte,21879.9,1,2021,24887,-0.120832,-0.92639
1,2021-02-01,Bizerte,29130.3,2,2021,26058.2,0.117893,0.987805
1,2021-03-01,Bizerte,22813.9,3,2021,26223.8,-0.130029,-1.00013
1,2021-04-01,Bizerte,24413.9,4,2021,26709.6,-0.085951,-0.646701
1,2021-05-01,Bizerte,26075.2,5,2021,26755.3,-0.0254208,-0.161345
1,2021-06-01,Bizerte,27628.2,6,2021,29376.5,-0.0595138,-0.434716
1,2021-07-01,Bizerte,25815.5,7,2021,24817.3,0.04022,0.36499
1,2021-08-01,Bizerte,24205,8,2021,25142,-0.0372662,-0.256326
1,2021-09-01,Bizerte,23422.8,9,2021,24215.1,-0.03272,-0.219873
0.999668,2021-10-01,Bizerte,22457.2,10,2021,28418.4,-0.209767,-1.63951
1,2021-11-01,Bizerte,22428.4,11,2021,26542.6,-0.155003,-1.20039
0.999911,2021-12-01,Bizerte,23351,12,2021,25905.9,-0.0986229,-0.748309
1,2022-01-01,Bizerte,21838.3,1,2022,24900.9,-0.122989,-0.943684
0.999945,2022-02-01,Bizerte,23621.7,2,2022,27894.4,-0.153172,-1.18571
1,2022-03-01,Bizerte,21793,3,2022,26564.1,-0.179606,-1.39767
1,2022-04-01,Bizerte,25107.4,4,2022,26478.4,-0.0517783,-0.37269
1,2022-05-01,Bizerte,25813.7,5,2022,26842.4,-0.0383245,-0.264812
1,2022-06-01,Bizerte,28161,6,2022,29198.9,-0.0355457,-0.24253
1,2022-07-01,Bizerte,20118.9,7,2022,26716.2,-0.246938,-1.93756
