shapeID,name,area_km2,n_pixels,sol,rad_km2,sol_per_km2,mean_rad,median_rad,p90_rad,max_rad,lit_area_km2,lit_share,core_area_km2,core_share,pop,pop_inhabited,pop_lit,pop_dark,pop_lit_share,pop_density,sol_per_capita,gini_pixels,gini_pop_light,cv_rad,sol_share_nat,pop_share_nat,light_pop_ratio
13205935B88806172084765,Tunis,285.138,1434,43536.8,8654.99,152.687,30.3604,21.787,69.1829,154.175,283.547,0.994419,176.924,0.620484,937062,937060,936509,550.497,0.999413,3286.35,0.046461,0.506939,0.290748,0.935156,0.121209,0.0850531,1.42509
13205935B75715054307065,Ben Arous,659.21,3308,23967.3,4770.84,36.3576,7.24526,1.29768,28.289,86.4905,501.833,0.761264,128.182,0.194448,594308,594308,587129,7178.48,0.987921,901.545,0.0403281,0.764482,0.368625,1.8659,0.0667262,0.0539428,1.23698
13205935B49538157477352,El Kef,5080.77,25301,6793.15,1364.2,1.33703,0.268493,0,0.365958,57.4465,723.42,0.142384,30.3161,0.00596683,240708,240680,127219,113461,0.528582,47.3762,0.0282216,0.948199,0.783514,6.62868,0.0189125,0.021848,0.865638
13205935B49970022939178,Sousse,2600.76,12924,30105.5,6057.64,11.5757,2.32943,0,4.01884,146.747,1095.81,0.421342,158.363,0.0608912,690327,690299,630733,59566.2,0.91371,265.433,0.0436105,0.895325,0.505944,3.45405,0.0838152,0.062658,1.33766
13205935B27259873852948,Sfax,6984.44,34239,34995.3,7140.32,5.01048,1.02209,0,1.13577,301.23,1698.59,0.243196,190.968,0.0273419,951946,951946,802974,148972,0.843508,136.295,0.0367619,0.936269,0.55183,5.60591,0.0974288,0.086404,1.12759
13205935B57742642676849,Jendouba,3080.98,15461,7070.67,1409.74,2.29494,0.457323,0,0.636306,53.0576,763.148,0.247697,30.9052,0.010031,398939,398933,234504,164429,0.587828,129.485,0.0177237,0.916776,0.792074,5.607,0.0196851,0.03621,0.543637
13205935B9888826763551,Kairouan,6504.55,32221,12214,2465.34,1.87776,0.379069,0,0.510492,90.1642,1435.07,0.220625,44.4039,0.00682659,565578,565574,304505,261069,0.5384,86.9511,0.0215956,0.93084,0.852232,7.49188,0.0340043,0.0513351,0.6624
13205935B52637504718586,Kasserine,8172.43,40284,12355.6,2506.51,1.51187,0.306713,0,0.481428,65.4555,1656,0.202632,49.5203,0.00605943,438488,438470,268508,169962,0.612375,53.6545,0.0281778,0.924328,0.765406,7.10151,0.0343987,0.0397996,0.864296
13205935B953488337212,Mahdia,2853.8,14085,11493.2,2326.95,4.02735,0.815992,0,1.15844,55.1875,1302.21,0.456306,49.1905,0.0172369,393439,393438,306119,87319.6,0.77806,137.865,0.0292122,0.845184,0.73849,3.91758,0.0319977,0.0357108,0.896025
13205935B47286197858453,Manouba,1133.3,5698,10008.2,1990.04,8.83106,1.75645,0.30295,3.13104,66.7802,582.754,0.51421,45.9245,0.0405227,463558,463558,427633,35924.9,0.922502,409.033,0.0215901,0.843718,0.560658,3.23893,0.0278634,0.0420751,0.662231
13205935B988461082754,Sidi Bouzid,7401.33,36326,10460.5,2128.19,1.41333,0.287963,0,0.463175,82.8398,1509.41,0.203938,36.2281,0.00489481,435675,435663,231754,203909,0.531956,58.8644,0.0240099,0.925674,0.848969,8.32404,0.0291226,0.0395443,0.736455
13205935B11721331776240,Kébili,22159.6,106740,7002.1,1448.59,0.315985,0.0655996,0,0,78.1897,507.358,0.0228956,31.8522,0.0014374,157991,128879,77374.7,51504.5,0.600366,7.12968,0.0443197,0.992694,0.817002,15.7213,0.0194942,0.0143401,1.35941
13205935B67114336122672,Béja,3647.76,18318,6411.95,1277.1,1.75778,0.350036,0,0.407326,57.9233,555.013,0.152152,31.068,0.00851699,306173,306140,159344,146795,0.520495,83.9343,0.0209423,0.953296,0.796414,6.64014,0.0178512,0.02779,0.642361
13205935B85172640982228,Tataouine,38345.4,182043,10149.3,2130.09,0.264681,0.0557521,0,0,70.8862,1060.02,0.0276439,36.4563,0.000950735,150089,132522,72423.5,60098.7,0.546501,3.91413,0.0676218,0.989324,0.793769,15.2727,0.0282561,0.0136229,2.07416
13205935B69181748376292,Gabès,7460.12,36144,11315.6,2333.81,1.51682,0.313071,0,0.200482,68.3093,689.628,0.092442,66.6105,0.00892888,375967,373611,265216,108395,0.709873,50.3969,0.0300974,0.973933,0.677786,7.7492,0.0315033,0.0341249,0.923175
13205935B29646166511918,Bizerte,3580.92,18075,12728.7,2517.78,3.55458,0.704214,0,0.774521,79.2568,782.055,0.218395,64.0742,0.0178932,571565,571558,420471,151087,0.735658,159.614,0.0222699,0.939934,0.698419,5.28671,0.0354372,0.0518785,0.683081
13205935B58390004509121,Ariana,454.256,2289,17651,3505.79,38.8569,7.71122,1.60924,26.2657,97.0906,347.396,0.764759,90.5679,0.199376,674474,674471,669469,5002,0.992584,1484.79,0.02617,0.755958,0.397242,1.88304,0.0491412,0.0612191,0.802709
13205935B21712567795690,Nabeul,2816.96,14147,29817.7,5944.82,10.5851,2.10771,0.43376,3.62886,261.31,1672.4,0.593692,142.382,0.0505447,784498,784497,705003,79494.1,0.898669,278.491,0.0380087,0.838163,0.645318,3.46803,0.083014,0.0712056,1.16584
13205935B50453639335401,Monastir,1077.43,5336,20809.2,4198.19,19.3138,3.89978,0.883579,11.7433,83.6557,781.535,0.725371,122.84,0.114012,550682,550676,528226,22449.8,0.959232,511.108,0.0377881,0.768083,0.513647,2.09409,0.0579339,0.049983,1.15907
13205935B74205220895681,Siliana,4647.68,23150,4497.58,902.498,0.967704,0.19428,0,0.246222,42.8906,460.688,0.0991222,23.0717,0.00496413,224573,224571,91140.7,133430,0.405844,48.3194,0.0200272,0.964324,0.83679,8.28452,0.0125215,0.0203835,0.614294
13205935B3129194497982,Zaghouan,2823.99,14115,5875.31,1174.48,2.0805,0.416246,0,0.629556,67.2501,629.127,0.22278,25.9804,0.00919989,186133,186129,106004,80125.2,0.569518,65.9114,0.0315651,0.923831,0.803696,5.64522,0.0163572,0.0168945,0.968193
13205935B54080015312342,Gafsa,7519.55,36700,8847.08,1812.55,1.17654,0.241065,0,0.222043,65.9463,700.336,0.0931353,46.7139,0.00621233,337791,336793,201039,135754,0.596921,44.9217,0.026191,0.971442,0.740578,8.22632,0.0246307,0.0306599,0.803353
13205935B11392830158982,Médenine,9258.74,44531,17068.7,3531.57,1.84352,0.3833,0,0.424938,543.327,1127.82,0.121812,72.1784,0.00779571,477216,470685,340418,130267,0.723239,51.5422,0.0357673,0.961,0.715459,12.0933,0.0475201,0.0433148,1.09709
13205935B95771050896452,Tozeur,6029.92,29266,4014.44,826.897,0.665753,0.137171,0,0,52.2546,269.458,0.0446868,19.9888,0.00331494,110198,101390,61032.2,40357.3,0.601958,18.2752,0.0364293,0.986392,0.766303,10.9818,0.0111764,0.0100022,1.11739
