shapeID,name,area_km2,n_pixels,sol,rad_km2,sol_per_km2,mean_rad,median_rad,p90_rad,max_rad,lit_area_km2,lit_share,core_area_km2,core_share,pop,pop_inhabited,pop_lit,pop_dark,pop_lit_share,pop_density,sol_per_capita,gini_pixels,gini_pop_light,cv_rad,sol_share_nat,pop_share_nat,light_pop_ratio
13205935B88806172084765,Tunis,285.138,1434,51405.3,10219.1,180.282,35.8475,27.3251,78.6948,161.335,284.74,0.998604,192.038,0.673492,986935,986935,986824,111.249,0.999887,3461.25,0.0520857,0.478081,0.286061,0.867471,0.08674,0.0845072,1.02642
13205935B75715054307065,Ben Arous,659.21,3308,36562.6,7278.45,55.4643,11.0528,2.51523,41.9881,100.119,558.269,0.846876,166.614,0.252748,668076,668076,663815,4261.65,0.993621,1013.45,0.0547283,0.720229,0.328662,1.66881,0.0616949,0.0572046,1.07849
13205935B49538157477352,El Kef,5080.77,25301,13672,2745.39,2.69092,0.540372,0,0.931395,90.0515,1268.32,0.249631,51.2013,0.0100775,234127,234098,152362,81736.8,0.650844,46.0811,0.0583955,0.905701,0.72839,5.26255,0.0230697,0.0200473,1.15076
13205935B49970022939178,Sousse,2600.76,12924,46541.4,9364.4,17.8953,3.60116,0.821244,6.69434,151.818,1474.93,0.567115,198.806,0.0764414,772534,772505,735169,37335.8,0.951669,297.042,0.0602451,0.836728,0.46734,2.96977,0.0785328,0.066149,1.18721
13205935B27259873852948,Sfax,6984.44,34239,57756.1,11780.3,8.26925,1.68685,0,2.56651,139.607,2818.49,0.403539,272.739,0.0390495,1.00952e+06,1.00952e+06,904214,105308,0.895685,144.539,0.0572113,0.877989,0.484374,3.66859,0.0974562,0.0864413,1.12743
13205935B57742642676849,Jendouba,3080.98,15461,12188.4,2429.59,3.956,0.788329,0,1.30286,66.9208,1054.47,0.342251,44.0582,0.0143001,392324,392315,272304,120011,0.694095,127.338,0.031067,0.864976,0.731605,4.19692,0.0205663,0.0335931,0.612218
13205935B9888826763551,Kairouan,6504.55,32221,25508.3,5149.25,3.92161,0.791668,0,1.24006,116.785,2358.14,0.362537,67.6156,0.0103951,579565,579561,377716,201846,0.651726,89.1015,0.0440129,0.859458,0.814293,5.51537,0.0430421,0.0496258,0.867334
13205935B52637504718586,Kasserine,8172.43,40284,20515.6,4161.76,2.51034,0.509274,0,0.939484,73.8893,2304.52,0.281987,65.3503,0.00799644,453257,453240,309588,143652,0.683055,55.4618,0.0452626,0.88078,0.721058,5.42897,0.0346175,0.0388106,0.891961
13205935B953488337212,Mahdia,2853.8,14085,20281.4,4106.71,7.10681,1.43993,0.721131,2.556,71.2867,1656.58,0.580481,67.0167,0.0234833,410908,410907,353392,57514.4,0.860031,143.986,0.0493575,0.750861,0.680861,2.96441,0.0342223,0.0351843,0.972657
13205935B47286197858453,Manouba,1133.3,5698,17963.1,3572.31,15.8503,3.15253,1.13239,6.36997,87.9489,757.792,0.668659,74.7684,0.065974,493309,493309,473770,19538.9,0.960392,435.285,0.0364135,0.754839,0.524176,2.49694,0.0303105,0.04224,0.717579
13205935B988461082754,Sidi Bouzid,7401.33,36326,23008.5,4682.03,3.10871,0.633391,0,1.08232,90.023,2511.2,0.33929,63.7117,0.00860815,454480,454377,299617,154760,0.659403,61.4052,0.0506261,0.855212,0.783126,5.28729,0.0388241,0.0389152,0.997657
13205935B11721331776240,Kébili,22159.6,106740,16700,3455.91,0.753625,0.156455,0,0,362.218,950.854,0.0429094,74.8901,0.00337958,165623,135841,100033,35808.8,0.736392,7.47412,0.100831,0.986521,0.751323,15.6738,0.0281792,0.0141817,1.98702
13205935B67114336122672,Béja,3647.76,18318,12074.6,2404.89,3.31013,0.659164,0,1.10085,67.3503,1018.78,0.279289,46.6078,0.0127771,305946,305911,202285,103626,0.661255,83.8723,0.0394663,0.89419,0.718064,4.71642,0.0203743,0.0261969,0.777737
13205935B85172640982228,Tataouine,38345.4,182043,21278.5,4469.82,0.554916,0.116887,0,0,335.192,1475.15,0.0384701,71.3538,0.00186082,153737,136201,94885.9,41315.1,0.696661,4.00926,0.138409,0.988063,0.72214,19.7974,0.0359048,0.0131638,2.72753
13205935B69181748376292,Gabès,7460.12,36144,20724,4274.52,2.77798,0.573374,0,0.81393,146.423,1137,0.152411,101.246,0.0135716,394757,392058,308848,83210.3,0.78776,52.9156,0.0524982,0.954644,0.615185,6.52272,0.0349692,0.0338014,1.03455
13205935B29646166511918,Bizerte,3580.92,18075,20533.3,4062.93,5.73408,1.136,0,1.86791,86.8973,1219.98,0.340688,89.605,0.0250229,596719,596712,489156,107556,0.819752,166.639,0.0344103,0.883597,0.628061,3.93109,0.0346474,0.0510946,0.678102
13205935B58390004509121,Ariana,454.256,2289,25468,5057.96,56.0654,11.1263,3.08022,37.6439,103.744,398.748,0.877805,118.757,0.261432,785022,785020,782901,2118.5,0.997301,1728.15,0.0324425,0.694356,0.362179,1.60709,0.0429741,0.0672182,0.639323
