shapeID,name,area_km2,n_pixels,sol,rad_km2,sol_per_km2,mean_rad,median_rad,p90_rad,max_rad,lit_area_km2,lit_share,core_area_km2,core_share,pop,pop_inhabited,pop_lit,pop_dark,pop_lit_share,pop_density,sol_per_capita,gini_pixels,gini_pop_light,cv_rad,sol_share_nat,pop_share_nat,light_pop_ratio,parent
11933810B37215570160824,القصور,457.405,2272,645.304,129.887,1.41079,0.284025,0.183281,0.291775,27.0409,75.0754,0.164133,1.20705,0.00263891,15159.7,15159.7,6761.72,8397.98,0.446033,33.1428,0.0425671,0.412759,0.796708,3.70269,0.00138563,0.00130213,1.06413,El Kef
11933810B66585629816917,المزونة,1131.71,5527,940.095,192.425,0.830687,0.170091,0.1321,0.197323,18.2731,50.5271,0.0446468,1.02234,0.000903364,25962.8,25860.1,7529.39,18330.7,0.291158,22.9413,0.0362093,0.301891,0.814186,3.05879,0.00201863,0.00223005,0.905194,Sidi Bouzid
11933810B82124432646139,العروسة,359.139,1796,379.238,75.8314,1.05596,0.211157,0.158184,0.227621,10.9601,26.7908,0.0745972,0.399859,0.00111338,21934.3,21934.3,8292.6,13641.7,0.378064,61.0748,0.0172897,0.323117,0.752685,2.35495,0.000814322,0.00188403,0.432224,Siliana
11933810B80183977842330,ماطر,562.76,2837,1395.41,276.69,2.47957,0.49186,0.208844,0.497342,24.3494,175.09,0.311127,4.55898,0.0081011,51928.5,51928.2,35190.3,16737.9,0.677672,92.2747,0.0268717,0.604003,0.706519,3.53107,0.0029963,0.00446034,0.671764,Bizerte
11933810B43888701821775,الجم,284.331,1403,1804.69,365.746,6.34713,1.28631,0.437424,1.37296,49.1421,273.791,0.962931,6.08026,0.0213844,51930.6,51930.6,51456.1,474.488,0.990863,182.641,0.0347519,0.668214,0.647535,3.10928,0.00387513,0.00446052,0.868761,Mahdia
11933810B93906060339366,القصر,280.483,1369,1271.44,260.498,4.53304,0.928737,0.260117,0.82613,35.1471,151.013,0.538405,6.55634,0.0233752,51616.1,51616.1,46606.3,5009.88,0.90294,184.026,0.0246326,0.72712,0.607206,3.73727,0.00273011,0.00443351,0.61579,Gafsa
11933810B57127812574337,صفاقس الجنوبية,195.3,958,4954.6,1010.42,25.3692,5.17181,1.2521,17.4791,91.9469,195.096,0.998958,35.8946,0.183792,123573,123573,123567,6.65946,0.999946,632.737,0.0400944,0.679403,0.352277,1.65517,0.0106388,0.0106142,1.00232,Sfax
11933810B10905453653895,غزالة,405.915,2049,414.788,82.1728,1.02186,0.202434,0.150266,0.247357,6.05593,40.0163,0.0985831,0,0,26412.4,26412.2,7768.07,18644.1,0.29411,65.0689,0.0157043,0.345913,0.659824,1.67099,0.000890656,0.00226866,0.392591,Bizerte
11933810B38600373367169,سيدي عيش,442.084,2165,429.113,87.6164,0.970659,0.198205,0.151372,0.24646,10.785,42.2621,0.0955975,0.204084,0.00046164,11735.4,11735.4,4249.27,7486.13,0.36209,26.5456,0.0365657,0.298645,0.749477,1.92714,0.000921416,0.001008,0.914104,Gafsa
11933810B46466927285708,الشبيكة,509.984,2527,1334.75,269.374,2.61724,0.528197,0.290904,0.624957,30.659,334.392,0.655691,2.62285,0.00514299,40497.3,40497.3,33435.2,7062.08,0.825616,79.4089,0.0329591,0.501669,0.762127,2.88997,0.00286606,0.00347847,0.823943,Kairouan
11933810B49203985770178,تطاوين الشمالية,2827.8,13530,6601.52,1381.16,2.33451,0.487917,0.126931,0.302489,258.301,367.671,0.13002,20.0728,0.00709839,37992.5,34359,27145.5,7213.5,0.790055,13.4354,0.173759,0.749154,0.647113,10.1091,0.0141752,0.00326332,4.34379,Tataouine
11933810B42878076535883,رمادة,27497,130220,28501,6023.98,1.03652,0.218868,0.120704,0.17376,850.014,1373.51,0.0499512,26.8523,0.000976556,10563.5,3552.89,3388.02,164.87,0.953596,0.384169,2.69807,0.495994,0.898617,18.9609,0.0611991,0.000907339,67.449,Tataouine
11933810B83498935151337,الصمار,1985.26,9508,1235.31,257.911,0.622241,0.129923,0.116179,0.147349,4.97334,32.9357,0.0165901,0,0,15586.8,12697.3,3381.15,9316.13,0.266289,7.85123,0.0792539,0.182579,0.65534,1.05729,0.00265253,0.00133881,1.98127,Tataouine
11933810B11827339972029,سليمان,141.712,712,3437.67,684.399,24.2581,4.82818,1.28563,12.8675,69.6326,140.321,0.990184,16.525,0.116609,59889.2,59889.2,59836,53.1615,0.999112,422.611,0.0574005,0.717619,0.574212,2.09211,0.00738156,0.00514411,1.43495,Nabeul
11933810B93669853270617,أولاد حفوز,420.716,2071,673.305,136.79,1.60038,0.325111,0.234887,0.480635,13.5635,181.631,0.431718,0.609644,0.00144906,21295.8,21295.8,11769.7,9526.09,0.552678,50.6181,0.0316167,0.358693,0.688778,1.73494,0.00144576,0.00182918,0.790386,Sidi Bouzid
11933810B54153099076840,الرديف,401.76,1960,746.553,153.012,1.85821,0.380894,0.178172,0.379967,16.9098,74.1895,0.184661,1.84449,0.00459103,24465,24456.1,17191.1,7264.94,0.702939,60.8945,0.0305152,0.549738,0.626428,2.91516,0.00160304,0.00210139,0.762849,Gafsa
11933810B17149479798456,الناظور,354.862,1769,652.375,130.876,1.83839,0.368782,0.183958,0.491066,23.986,116.578,0.328517,1.00296,0.00282634,34646.5,34646.5,22794.2,11852.3,0.657909,97.6335,0.0188295,0.565401,0.745755,3.26356,0.00140082,0.00297592,0.470718,Zaghouan
11933810B3957312331643,زرمدين,250.927,1242,1210.3,244.501,4.8233,0.974475,0.364135,1.45231,31.5546,216.576,0.863104,4.03979,0.0160994,33712.8,33711.4,32882,829.443,0.975396,134.353,0.0359003,0.6279,0.642947,2.58866,0.00259882,0.00289572,0.89747,Monastir
11933810B51337682918507,القيروان الجنوبية,519.035,2570,3140.06,633.736,6.0498,1.22181,0.379346,1.08571,77.1116,410.526,0.79094,10.2899,0.0198251,62619.9,62619.6,58128.5,4491.1,0.92828,120.647,0.0501448,0.71815,0.697461,4.1091,0.00674252,0.00537866,1.25357,Kairouan
11933810B93089307586019,قابس الغربية,152.975,742,1623.62,334.68,10.6136,2.18816,0.491316,6.79921,30.2739,137.715,0.900246,10.3063,0.0673722,35899.1,35899.1,35628.3,270.787,0.992457,234.672,0.0452273,0.704828,0.44162,1.86074,0.00348632,0.00308351,1.13064,Gabès
11933810B87788045325558,أوتيك,371.509,1874,1029.09,203.981,2.77003,0.549141,0.338524,0.761768,15.5828,309.453,0.832963,0.594281,0.00159964,20868.3,20868.3,19302.5,1565.79,0.924968,56.1718,0.0493135,0.433377,0.632192,1.76019,0.00220972,0.00179246,1.23279,Bizerte
11933810B95745204086870,سيدي مخلوف,656.72,3173,925.972,191.699,1.41,0.291828,0.176749,0.378559,17.015,137.723,0.209713,0.414118,0.000630586,27335.5,27335.5,11964.1,15371.4,0.437678,41.6243,0.0338743,0.435678,0.706112,2.16054,0.0019883,0.00234795,0.846824,Médenine
11933810B61155262377860,مارث,996.159,4814,1823.9,377.182,1.83093,0.378874,0.176542,0.403096,25.5327,229.871,0.230758,4.96199,0.00498112,64717.8,64623.6,43692.2,20931.4,0.676103,64.9674,0.0281823,0.581106,0.730512,3.40489,0.00391638,0.00555887,0.704529,Gabès
11933810B61814585339016,تالة,713.438,3533,1219.62,246.275,1.7095,0.345209,0.197248,0.426149,25.8931,226.559,0.317559,2.01984,0.00283114,37815.4,37815.4,21916.3,15899.1,0.57956,53.0044,0.032252,0.489855,0.756397,3.09801,0.00261884,0.00324811,0.806267,Kasserine
11933810B10637834163678,بنزرت الجنوبية,402.431,2036,1706.61,337.303,4.24076,0.838218,0.197348,0.710467,48.2625,149.829,0.37231,9.09111,0.0225905,66154.4,66152.7,52501.8,13650.9,0.793645,164.387,0.0257974,0.777401,0.672859,4.00148,0.00366454,0.00568226,0.644909,Bizerte
11933810B59009288682307,الكاف الشرقية,391.862,1955,1483.22,297.33,3.78505,0.758681,0.206931,0.691572,58.5032,136.927,0.349427,6.01396,0.0153471,40481.6,40481.6,32750,7731.65,0.809008,103.306,0.0366394,0.729959,0.642092,4.47582,0.00318486,0.00347712,0.915946,El Kef
11933810B77828978418448,جبنيانة,252.195,1241,1098.02,223.207,4.35386,0.884786,0.363669,1.39899,19.1181,199.574,0.791349,3.25353,0.0129009,52655.2,52655.2,49674.7,2980.49,0.943396,208.788,0.020853,0.599086,0.597957,2.10252,0.00235773,0.00452276,0.521304,Sfax
11933810B2147309578114,مطماطة الجديدة,750.616,3630,1032.25,213.4,1.3752,0.284366,0.15203,0.246318,36.0438,71.7225,0.0955515,2.68692,0.00357962,12911.5,12525.8,6091.26,6434.49,0.486299,17.2012,0.0799483,0.502478,0.791205,5.27378,0.00221651,0.00110901,1.99863,Gabès
11933810B84977870340871,عين دراهم,486.902,2448,717.17,142.648,1.47292,0.292962,0.155367,0.323149,12.495,81.1584,0.166683,0.795634,0.00163407,33054.6,33048.8,17059.1,15989.8,0.516177,67.8875,0.0216965,0.532017,0.715225,2.61849,0.00153995,0.00283919,0.542391,Jendouba
11933810B24565531401721,السند,764.905,3739,1114.64,228.026,1.45722,0.298111,0.161812,0.309675,31.0805,123.17,0.161027,3.06827,0.00401131,39102.5,39102.5,18874.4,20228.1,0.482691,51.1207,0.0285055,0.505315,0.779026,4.2116,0.00239341,0.00335867,0.712608,Gafsa
11933810B45442684753250,التحرير,1.59022,8,711.625,141.456,447.501,88.9531,88.6595,99.2821,101.365,1.59022,1,1.59022,1,18854.2,18854.2,18854.2,0,1,11856.3,0.0377436,0.0565695,0.0578298,0.0992146,0.00152804,0.00161946,0.943552,Tunis
